"ID","Name","Event ID","Title","Date Created","Date Modified","Permalink","Description","Start Date","End Date","Category","Category Slug","Hosts"
"23","Workshop: Policy Writing &#8211; Part II","","Workshop: Policy Writing &#8211; Part II","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p><span style=\"font-weight: 400;\">Having appropriate policies in place can pave the way for an institution to take sustainable action. This includes loan agreements, mission and vision statements, tenders, collections management, events, and documentatio","2022-09-13 08:00:00","2022-09-13 09:00:00","Workshop","workshop",""
"24","Office Hours","","Office Hours","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-09-15 00:00:00","2022-09-15 01:00:00","Office Hours","office-hours",""
"25","Global Network Meeting: Champion Presentations","","Global Network Meeting: Champion Presentations","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>Join us to find out what your colleagues have been doing this year &#8211; share your stories, experiences, and contribute to the international peer-to-peer learning and knowledge exchange. Feel free to present in your own language and let us know if w","2022-09-21 00:00:00","2022-09-21 01:00:00","Global Network Meeting","global-network-meeting",""
"26","Core Training: Materials with Kim Kraczon","","Core Training: Materials with Kim Kraczon","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>Kim Kraczon joins us for this special Core Session on materials &#8211; with a focus on testing and use of alternative materials for conservation and collections management. Join us to find out what alternatives are available and how you can be sure th","2022-09-28 00:00:00","2022-09-28 01:00:00","Core Training","core-training",""
"27","Office Hours","","Office Hours","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-09-29 08:00:00","2022-09-29 09:00:00","Office Hours","office-hours",""
"28","Alice &#8211; Regional Network Meeting","","Alice &#8211; Regional Network Meeting","2022-07-13 11:25:10","2022-07-26 05:56:35","","","2022-10-04 11:00:00","2022-10-04 12:00:00","Regional Network Meeting","regional-network-meeting",""
"29","Social: Performing Arts","","Social: Performing Arts","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>Each first Wednesday of the month, we are inviting everyone to get together during this informal gathering with different themes. This month’s theme is performing arts.</p>","2022-10-05 08:00:00","2022-10-05 08:00:00","Social","social",""
"30","Douglas &#8211; Regional Network Meeting","","Douglas &#8211; Regional Network Meeting","2022-07-13 11:25:10","2022-07-26 05:56:35","","","2022-10-06 15:00:00","2022-10-06 16:00:00","Regional Network Meeting","regional-network-meeting",""
"31","Kim &#8211; Regional Network Meeting","","Kim &#8211; Regional Network Meeting","2022-07-13 11:25:10","2022-07-26 05:56:35","","","2022-10-06 18:00:00","2022-10-06 19:00:00","Regional Network Meeting","regional-network-meeting",""
"32","Nicole &#8211; Regional Network Meeting","","Nicole &#8211; Regional Network Meeting","2022-07-13 11:25:10","2022-07-26 05:56:35","","","2022-10-07 11:00:00","2022-10-07 12:00:00","Regional Network Meeting","regional-network-meeting",""
